2019-05-19 01:21:36.543  INFO 20488 --- [Thread-13] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2019-05-19 01:21:36.545  INFO 20488 --- [Thread-13] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2019-05-19 01:21:36.545  INFO 20488 --- [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2019-05-19 01:21:36.545  INFO 20488 --- [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2019-05-19 01:21:36.546  INFO 20488 --- [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2019-05-19 01:21:36.561  INFO 20488 --- [Thread-13] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2019-05-19 01:21:36.628  INFO 20488 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat started on port(s): 2000 (http)
2019-05-19 01:21:36.629  INFO 20488 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 2000
2019-05-19 01:21:36.636  INFO 20488 --- [main] org.epay.server.EpayServerApplication    : Started EpayServerApplication in 20.202 seconds (JVM running for 22.184)
2019-05-19 01:21:40.256  INFO 20488 --- [http-nio-2000-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-05-19 01:21:40.257  INFO 20488 --- [http-nio-2000-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization started
2019-05-19 01:21:40.293  INFO 20488 --- [http-nio-2000-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization completed in 36 ms
2019-05-19 01:22:10.711  INFO 20488 --- [http-nio-2000-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance EPAY-CONFIG/localhost:epay-config:2020 with status UP (replication=false)
2019-05-19 01:22:36.548  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:22:52.085  INFO 20488 --- [http-nio-2000-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Registered instance EPAY-SERVICE/localhost:epay-service:3000 with status UP (replication=false)
2019-05-19 01:23:36.549  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:24:36.551  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2019-05-19 01:25:36.551  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:26:36.552  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:27:36.553  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:28:36.553  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:29:36.554  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2019-05-19 01:30:36.555  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:31:35.799  WARN 20488 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2019-05-19 01:31:36.555  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:32:36.556  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:33:36.557  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:34:36.557  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:35:36.558  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:36:35.822  INFO 20488 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 0
2019-05-19 01:36:36.558  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:37:36.558  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:38:36.559  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:39:36.559  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:40:36.560  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-05-19 01:41:35.802  WARN 20488 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2019-05-19 01:41:36.560  INFO 20488 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
